Sheet: Q1 2021
Home Builder,,Sample Surveyed,Percentage
Dandara Homes,,429,0.915
Davidsons Developments,,438,0.938
Denbury Homes Ltd,,49,0.938
Eccleston Homes,,33,0.727
Galliers Homes,,25,0.96
Gentoo,,156,0.8
Hayfield Homes,,90,0.944
Hill,,238,0.924
Hopkins Homes,,312,0.903
Jones Homes,,207,0.928
Kebbell Development,,29,0.897
Keepmoat,,1652,0.9
Kingswood Homes,,61,0.967
Lagan Homes,,95,0.916
Lioncourt Homes,,74,0.932
Lovell,,479,0.87
Malcolm Allan Housebuilders,,23,1
McCarthy & Stone,,513,0.924
Miller Homes,,2041,0.911
Morris Homes,,492,0.925
Norfolk Homes,,30,1
Orbit Homes,,81,0.827
Persimmon Homes,,6746,0.906
Redrow Homes,,2611,0.908
Riverdale Developments,,33,0.969
Rose Builders,,36,1
St Modwen,,541,0.905
Stewart Milne,,327,0.905
Stonebond Properties,,47,0.935
Story Homes,,520,0.946
Strata Homes,,242,0.86
Taylor Wimpey,,5436,0.9
Thakeham Homes,,63,0.889
Tilia Homes,,427,0.789
Vistry Homes,,4103,0.925
Wainhomes,,526,0.864
William Davis,,107,0.915
Durkan,,21,1

Sheet: Q1 2023
Home Builder,,Sample Surveyed,Percentage
A & J Stephen,,25,0.8
Allison Homes,,100,0.88
Avant Homes,,1044,0.775
Barratt Developments,,8829,0.924
Beal Developments,,121,0.924
Bellway Homes,,5236,0.916
Bloor Homes,,1925,0.949
Burrington Estates,,40,0.925
CALA Homes,,1374,0.944
Cameron Homes,,91,0.967
Campion Homes,,,
Castle Green Homes,,112,0.892
Cavanna Homes,,95,0.863
Churchill Retirement Living,,288,0.95
Crest Nicholson,,1185,0.861
Croudace Homes,,180,0.927
Cruden Homes,,94,0.783
Dandara Homes,,464,0.913
Davidsons Developments,,442,0.916
Denbury Homes,,41,0.925
Durkan,,23,1
Eccleston Homes,,35,0.743
Galliers Homes,,,
Gentoo,,167,0.747
Greensquare Homes,,,
Hayfield Homes,,96,0.937
Hill,,235,0.945
Hopkins Homes,,308,0.906
Jones Homes,,197,0.938
Kebbell Development,,28,0.893
Keepmoat,,1716,0.894
Kingswood Homes,,64,0.984
Lagan Homes,,109,0.927
Lioncourt Homes,,74,0.973
Lovell,,591,0.83
M F Freeman,,20,0.833
Malcolm Allan Housebuilders,,21,0.952
McCarthy & Stone,,511,0.932
Miller Homes,,2163,0.911
Morris Homes,,499,0.924
Norfolk Homes,,35,1
Orbit Homes,,99,0.816
Persimmon Homes,,7441,0.904
Redrow Homes,,2570,0.9
Riverdale Developments,,30,0.966
Rose Builders,,38,1
St Modwen,,623,0.917
Stewart Milne,,304,0.901
Stonebond Properties,,54,0.906
Story Homes,,525,0.94
Strata Homes,,225,0.835
Taylor Wimpey,,5747,0.892
Thakeham Homes,,61,0.885
Tilia Homes,,472,0.773
Vistry Homes,,5847,0.911
William Davis,,113,0.92

Sheet: Q2 2023
Home Builder,,Sample Surveyed,Percentage
A & J Stephen,,33,0.781
Allison Homes Ltd,,102,0.901
Avant Homes,,962,0.754
Barratt Developments,,8818,0.923
Beal Developments,,118,0.93
Bellway Homes,,5162,0.912
Bloor Homes,,1879,0.954
Burrington Estates,,40,0.85
CALA Homes,,1356,0.942
Cameron Homes,,74,0.973
Campion Homes,,,
Castle Green Homes,,138,0.877
Cavanna Homes,,89,0.865
Churchill Retirement Living,,278,0.94
Crest Nicholson,,1169,0.855
Croudace Homes,,196,0.908
Cruden Homes,,86,0.783
Dandara Homes,,465,0.916
Davidsons Developments,,413,0.919
Denbury Homes,,47,0.891
Durkan,,23,1
Eccleston Homes,,39,0.718
Galliers Homes,,,
Gentoo,,142,0.738
Greensquare Homes,,,
Hayfield Homes,,86,0.953
Hill,,270,0.963
Hopkins Homes,,327,0.917
Jones Homes,,173,0.935
Kebbell Development,,25,0.92
Keepmoat,,1824,0.898
Kingswood Homes,,72,0.986
Lagan Homes,,108,0.935
Lioncourt Homes,,89,0.93
Lovell,,587,0.823
M F Freeman,,24,0.955
Malcolm Allan Housebuilders,,19,0.947
McCarthy & Stone,,506,0.947
Miller Homes,,2123,0.906
Morris Homes,,455,0.945
Norfolk Homes,,37,1
Orbit Homes,,97,0.844
